,model_name,source,volume,area,n_triangles,x_scale,y_scale,z_scale,area_ratio_xy,area_ratio_xz,area_ratio_yz,build_time,support_material,model_material,area_ground,box_volume
0,472135,thingi10k,98.34421468226118,420.0962109375001,652,9.14400634765625,0.5079998016357422,22.013333129882813,2.3981484919255114,1.9235047033058064,1.999994875717183,435,40.95,109.838,4.645153410765342,102.25530947058886
1,237632,thingi10k,3.7269593534069543,26.368342285156256,564,6.032647323608399,1.15,1.2346221923828125,1.2166476314721082,1.9917904121586154,2.678573227738108,30,3.159,5.057,6.937544422149658,8.565246304227562
2,98021,thingi10k,1.3150503931152913,11.516920166015627,2454,1.65,1.65,1.3900079727172852,1.028466553070657,2.060713922694027,2.113780281974534,28,2.86,2.563,2.7224999999999997,3.7842967057228085
3,97474,thingi10k,4.134663974701069,20.899255371093755,1152,2.0,2.258489990234375,1.65,2.0817299344514377,1.906478332750725,1.9536261161329402,29,2.524,5.198,4.51697998046875,7.453016967773436
4,50881,thingi10k,927.7558555081238,1253.6665915466308,31880,25.4,25.4,8.375590386390686,0.7279096101160952,3.029798814932731,3.0453508163426184,766,31.157,874.206,645.16,5403.595893683814
5,102625,thingi10k,59.02306004848655,87.66419921875001,1984,4.236915969848633,4.671210098266601,5.545684051513672,1.4998518449820688,1.9577510586597147,2.0755875890766884,64,2.589,56.026,19.791524663863967,109.75754268352989
6,754638,thingi10k,9.978228518038991,71.80149414062501,1212,4.445000076293946,4.445000076293946,2.5399999618530273,1.1343900223093029,3.4436854034547757,3.4436891200672513,18,0.703,9.526,19.758025678253183,50.18538446905422
7,1396906,thingi10k,4.207998507724191,32.94919189453125,94504,1.8816299438476562,3.0990509033203124,3.606466293334961,2.111892030370739,2.4014019518073746,1.7316276099103072,82,9.016,7.93,5.831266977195628,21.030267800693277
8,472121,thingi10k,1255.9103346448294,700.3547689575196,524,8.60213360786438,8.60213360786438,21.618244400024412,1.5702028671595396,1.999998536574949,1.9999990288918144,713,5.034,1165.659,73.99670260754985,1599.6788017659364
9,289686,thingi10k,1.3248907380936048,13.224500732421877,1192,4.094398498535156,1.7354753494262696,0.3,1.2640747692848813,2.525397977804735,3.8756485361381303,4,0.662,1.703,7.105727664935694,2.131718299480708
10,209086,thingi10k,16.667743425087597,43.21217773437501,3704,3.0,4.5,2.0,1.9078442608868633,2.24741538365682,1.597005738152398,16,1.306,16.146,13.5,27.0
11,52072,thingi10k,17.616060414632166,58.58526855468751,224,4.1,4.2,1.9,1.3444623603776495,2.595635586739811,2.137844783620428,18,1.265,16.993,17.22,32.717999999999996
12,94155,thingi10k,9.764862974049127,32.91225585937501,14184,2.702953910827637,2.8645299911499023,2.648560905456543,2.0387640770249127,1.9374594893971626,1.9866402987359593,52,4.978,11.658,7.742692542261684,20.506992770404228
13,289692,thingi10k,2.588526184389989,22.673989257812504,404,5.141998672485352,3.252654266357422,0.3,1.0402217015042268,2.530075554814674,2.6653126648510232,5,1.032,3.138,16.72514391966368,5.017543175899104
14,98009,thingi10k,9.706998046875002,102.60430664062503,12,6.60009994506836,7.35,0.20009999275207518,1.9999998411549826,1.9999999270970152,2.0000000097265076,12,4.295,12.148,48.51073459625244,9.706997641107955
15,107007,thingi10k,60.4418161106681,152.43556640625002,2484,6.958283996582031,5.55999984741211,3.2,1.4218080524494652,3.109202244384598,2.848560510911475,53,2.615,56.645,38.688057959246215,123.8017854695879
16,132057,thingi10k,10.542501574754718,135.99063476562503,530,13.5947998046875,3.8100002288818358,1.0,1.6076531663330942,3.604620995056057,1.9750073265211456,16,3.854,11.713,51.79619036746212,51.79619036746212
17,208367,thingi10k,2.5537501754760688,80.08500000000002,60,21.15,1.5,0.75,2.162647773375936,0.44917257683215134,3.8666665818956165,21,4.995,4.051,31.724999999999998,23.79375
18,63244,thingi10k,20.863506382991876,151.48099609375004,1052,8.49998779296875,10.5,0.3,1.5584339115508021,2.5035320033514337,2.4919470529707652,22,6.184,23.758,89.24987182617187,26.77496154785156
19,934258,thingi10k,10.490620960399502,71.73261230468752,11532,15.699996948242188,3.9,1.4000648498535155,0.24867921610728352,2.0814759886049568,3.948390682414517,33,2.879,11.335,61.22998809814453,85.72595409316126
20,78894,thingi10k,35.24701377646129,292.6610937500001,1212,22.76575927734375,14.117424011230469,4.967399978637696,0.07788085479577876,1.9351019950277921,2.181887484931287,230,29.308,38.754,321.3938766558655,1596.4919360346323
21,116863,thingi10k,1.6223561903998476,11.613740234375003,4510,1.500100040435791,1.500100040435791,2.3218000411987303,2.299779779717712,1.371172912999124,1.418135782483605,41,4.305,3.584,2.2503001313154614,5.224746937597747
22,591245,thingi10k,6.081223132585858,95.18669921875002,4950,7.203472900390625,7.201895141601563,1.2,0.4599167905584774,5.242232466571826,5.254151946869318,17,2.296,6.525,51.87865648398176,62.2543877807781
23,135062,thingi10k,11.332895841493958,139.90245117187501,132468,2.1616668701171875,3.004679489135742,11.599372863769531,2.483477698047121,3.027410301902666,2.5167268848364457,249,28.953,22.788,6.495116106985369,75.3392735183985
24,314000,thingi10k,5.579391047760768,39.827443847656255,1090,2.0,3.0,3.5,3.64811102549235,1.3475953510829382,0.9528587886265346,76,9.829,8.854,6.0,21.0
25,65609,thingi10k,4.713572857141496,49.61598144531251,360,3.9695858001708983,8.681570434570313,0.2200000047683716,1.2873660652963788,3.0534996302912707,2.0094560739044685,7,2.171,5.536,34.46223872025381,7.581692682784598
26,118682,thingi10k,120.50144529819784,523.7802343750001,3722,10.0,10.3,6.0,2.065830860323119,2.8970822652180988,2.9789378342119233,227,24.751,120.202,103.0,618.0
27,96781,thingi10k,11.798548908483511,88.70166015625001,3506,7.128356170654297,7.1259918212890625,0.6,1.3299296704348955,3.146669208244058,3.148367233465166,18,3.248,12.308,50.796607771317944,30.477964662790765
28,200075,thingi10k,11.247262782315143,33.16497070312501,43956,2.9381195068359376,2.5980762481689452,3.854462814331055,2.1350679565911874,1.319545011219497,1.4141360468236779,17,0.646,10.783,7.633458504992304,29.42288195223196
29,551075,thingi10k,10.141517252218755,57.05492187500001,153456,4.768882751464844,2.1370271682739257,3.0661666870117186,2.239648326216948,1.5956605158398913,3.2024987669924245,73,6.298,12.415,10.191232002193283,31.248016064732784
